run,phase,sample,query,disabled_ms,reused_ms
final_jar,sequential,32,filter,36.918459,27.165583
final_jar,sequential,33,group,36.280625,27.127208
final_jar,sequential,34,count,36.170583,24.712583
final_jar,sequential,35,filter,36.16875,31.818125
final_jar,sequential,36,group,38.597083,27.877709
final_jar,sequential,37,count,36.63375,25.146959
final_jar,sequential,38,filter,38.373166,26.350709
final_jar,sequential,39,group,39.278917,28.457542
final_jar,sequential,40,count,36.852,25.293375
final_jar,sequential,41,filter,38.232375,28.772334
final_jar,sequential,42,group,39.545416,28.869791
final_jar,sequential,43,count,36.409167,23.926833
final_jar,sequential,44,filter,37.330208,27.171458
final_jar,sequential,45,group,38.432875,27.821541
final_jar,sequential,46,count,34.24125,23.240792
final_jar,sequential,47,filter,36.337542,27.327333
final_jar,sequential,48,group,39.828875,26.762
final_jar,sequential,49,count,33.969917,22.217292
final_jar,sequential,50,filter,39.370667,26.818666
final_jar,sequential,51,group,37.987,26.855792
final_jar,sequential,52,count,33.389333,22.12675
final_jar,sequential,53,filter,39.277916,24.711292
final_jar,sequential,54,group,40.570375,28.380833
final_jar,sequential,55,count,34.084708,34.282125
final_jar,sequential,56,filter,40.024333,27.722458
final_jar,sequential,57,group,48.191666,26.601916
final_jar,sequential,58,count,35.828625,22.500375
final_jar,sequential,59,filter,37.675166,25.779792
final_jar,sequential,60,group,36.097792,26.62475
final_jar,batch_of_four,1,count+group+filter+group,73.654708,36.611333
final_jar,batch_of_four,2,count+group+filter+group,73.423917,36.345
final_jar,batch_of_four,3,count+group+filter+group,84.661041,36.028625
final_jar,batch_of_four,4,count+group+filter+group,82.716667,36.917708
final_jar,batch_of_four,5,count+group+filter+group,82.558167,36.882
final_jar,batch_of_four,6,count+group+filter+group,80.599417,37.50625
final_jar,batch_of_four,7,count+group+filter+group,82.229125,36.550667
final_jar,batch_of_four,8,count+group+filter+group,81.127,36.481958
final_jar,batch_of_four,9,count+group+filter+group,84.798292,36.370125
final_jar,batch_of_four,10,count+group+filter+group,74.762625,41.820583
final_jar,batch_of_four,11,count+group+filter+group,84.368625,36.845875
final_jar,batch_of_four,12,count+group+filter+group,81.185166,36.229667
final_jar,batch_of_four,13,count+group+filter+group,79.648041,35.830417
final_jar,batch_of_four,14,count+group+filter+group,82.241083,36.031834
final_jar,batch_of_four,15,count+group+filter+group,89.194667,54.023833
final_jar,batch_of_four,16,count+group+filter+group,79.862167,44.415375
final_jar,batch_of_four,17,count+group+filter+group,81.352833,36.432833
final_jar,batch_of_four,18,count+group+filter+group,88.260709,37.077833
final_jar,batch_of_four,19,count+group+filter+group,88.006666,37.630917
final_jar,batch_of_four,20,count+group+filter+group,85.492042,36.421333
