round,workload,size,mode,samples,median_ms,p95_ms
persisted-XS,group,XS,before,20,44.69018750000053,52.21550000000086
persisted-XS,group,XS,after_off,20,43.85139599999999,46.670332999999786
persisted-XS,group,XS,after_reuse,20,29.543458000000022,34.43212500000037
persisted-XS,sum_square,XS,before,20,68.19312500000052,72.64229199999939
persisted-XS,sum_square,XS,after_off,20,66.98437550000014,69.57254199999952
persisted-XS,sum_square,XS,after_reuse,20,52.896125500000224,54.73100000000031
persisted-XS,mixed_sequential,XS,before,60,47.40722900000005,71.44949999999994
persisted-XS,mixed_sequential,XS,after_off,60,46.97216700000028,68.01979200000031
persisted-XS,mixed_sequential,XS,after_reuse,60,30.559957999999998,53.639000000000436
persisted-XS,batch4,XS,before,20,146.14462499999803,159.72900000000223
persisted-XS,batch4,XS,after_off,20,143.71433350000194,159.9871670000006
persisted-XS,batch4,XS,after_reuse,20,65.57774999999921,69.4709170000003
persisted-fleet,count,XS,before,20,50.49447899999926,57.55545800000306
persisted-fleet,count,XS,after_off,20,48.32225000000001,58.43945900000591
persisted-fleet,count,XS,after_reuse,20,30.454375499999742,37.804416000000174
persisted-fleet,count,S,before,20,47.58412450000016,67.93958300000114
persisted-fleet,count,S,after_off,20,50.381458499998644,56.45729200000105
persisted-fleet,count,S,after_reuse,20,30.597833000002517,36.343834000000186
persisted-fleet,count,M,before,20,51.3527499999995,71.69262500000073
persisted-fleet,count,M,after_off,20,46.71593750000014,70.2489160000006
persisted-fleet,count,M,after_reuse,20,30.411895499998565,33.06462500000151
persisted-fleet,count,L,before,20,48.48433350000114,68.50354099999834
persisted-fleet,count,L,after_off,20,47.7032295000015,62.708666999999
persisted-fleet,count,L,after_reuse,20,30.238063000002313,41.57133400000035
persisted-fleet,count,XL,before,20,48.879458500000084,55.224625000001026
persisted-fleet,count,XL,after_off,20,44.97431249999906,50.2917079999996
persisted-fleet,count,XL,after_reuse,20,28.99304149999793,32.43945799999892
persisted-fleet,count,AUTO,before,20,50.88014600000079,60.65612499999773
persisted-fleet,count,AUTO,after_off,20,49.27870800000278,62.858625000004054
persisted-fleet,count,AUTO,after_reuse,20,51.01531250000235,61.01854199999934
persisted-fleet,group,XS,before,20,49.066374499998844,60.50083299999898
persisted-fleet,group,XS,after_off,20,49.0497920000017,55.83870799999957
persisted-fleet,group,XS,after_reuse,20,31.93808400000009,51.13541700000113
persisted-fleet,group,S,before,20,45.64950049999972,64.0929589999999
persisted-fleet,group,S,after_off,20,49.076479500001824,57.545208999997044
persisted-fleet,group,S,after_reuse,20,30.214896000003932,34.8430000000004
persisted-fleet,group,M,before,20,47.51254199999977,56.334707999997846
persisted-fleet,group,M,after_off,20,45.84764600000213,56.10325000000316
persisted-fleet,group,M,after_reuse,20,29.823499999999115,37.37058300000129
persisted-fleet,group,L,before,20,47.8565000000053,66.81795899999798
persisted-fleet,group,L,after_off,20,46.75104200000035,55.433415999999625
persisted-fleet,group,L,after_reuse,20,31.226375000001028,38.67083300000118
persisted-fleet,group,XL,before,20,47.59041700000122,54.944583000001046
persisted-fleet,group,XL,after_off,20,47.29510450000074,57.42179200000308
persisted-fleet,group,XL,after_reuse,20,30.611104000002776,35.254541999997
persisted-fleet,group,AUTO,before,20,67.62195849999841,81.4090420000042
persisted-fleet,group,AUTO,after_off,20,66.61516599999828,85.14087500000045
persisted-fleet,group,AUTO,after_reuse,20,64.00841650000366,77.0851669999999
persisted-fleet,sum_square,XS,before,20,71.61006250000135,81.91679200000124
persisted-fleet,sum_square,XS,after_off,20,71.27122899999883,85.4239579999998
persisted-fleet,sum_square,XS,after_reuse,20,54.833250499999764,60.22374999999869
persisted-fleet,sum_square,S,before,20,58.494770999999446,76.05662499999966
persisted-fleet,sum_square,S,after_off,20,57.42095849999718,70.15595899999738
persisted-fleet,sum_square,S,after_reuse,20,42.22202100000061,53.03612500000199
persisted-fleet,sum_square,M,before,20,54.566603999999685,63.71083299999469
persisted-fleet,sum_square,M,after_off,20,52.050687499999526,67.11874999999878
persisted-fleet,sum_square,M,after_reuse,20,36.305625000000674,42.537666999997725
persisted-fleet,sum_square,L,before,20,52.38668749999942,63.24320800000294
persisted-fleet,sum_square,L,after_off,20,50.10329200000285,58.54179099999968
persisted-fleet,sum_square,L,after_reuse,20,35.296854000001154,40.37612500000165
persisted-fleet,sum_square,XL,before,20,50.95402099999902,60.28299999999831
persisted-fleet,sum_square,XL,after_off,20,50.24933300000178,56.579042000002744
persisted-fleet,sum_square,XL,after_reuse,20,34.55458299999847,38.37754200000276
persisted-fleet,sum_square,AUTO,before,20,71.75129150000004,83.91066699999783
persisted-fleet,sum_square,AUTO,after_off,20,70.24264599999874,82.18141699999393
persisted-fleet,sum_square,AUTO,after_reuse,20,71.6455835000005,90.07462499999974
persisted-fleet,mixed_sequential,XS,before,60,52.040354500000774,80.64441700000202
persisted-fleet,mixed_sequential,XS,after_off,60,52.62833349999774,76.19295800000003
persisted-fleet,mixed_sequential,XS,after_reuse,60,34.00124999999754,59.756999999999394
persisted-fleet,mixed_sequential,S,before,60,51.865770500000075,68.0829999999979
persisted-fleet,mixed_sequential,S,after_off,60,52.304146000000884,68.65258300000221
persisted-fleet,mixed_sequential,S,after_reuse,60,32.70866649999604,46.818666000000064
persisted-fleet,mixed_sequential,M,before,60,52.48122900000496,63.71083299999469
persisted-fleet,mixed_sequential,M,after_off,60,49.187187499999396,70.2489160000006
persisted-fleet,mixed_sequential,M,after_reuse,60,31.432228500001713,42.29858300000089
persisted-fleet,mixed_sequential,L,before,60,50.04229150000228,68.05312499999872
persisted-fleet,mixed_sequential,L,after_off,60,48.52881250000074,62.708666999999
persisted-fleet,mixed_sequential,L,after_reuse,60,32.21777100000267,41.13729199999838
persisted-fleet,mixed_sequential,XL,before,60,50.0102499999997,57.41970800000473
persisted-fleet,mixed_sequential,XL,after_off,60,47.51329149999961,57.42179200000308
persisted-fleet,mixed_sequential,XL,after_reuse,60,31.684854499999915,37.54462500000244
persisted-fleet,mixed_sequential,AUTO,before,60,64.45891700000317,81.4090420000042
persisted-fleet,mixed_sequential,AUTO,after_off,60,62.65495800000309,82.18141699999393
persisted-fleet,mixed_sequential,AUTO,after_reuse,60,63.5470834999996,79.68662500000079
persisted-fleet,batch4,XS,before,20,70.94002099999841,85.92195800000013
persisted-fleet,batch4,XS,after_off,20,70.61231200000151,80.93908300000408
persisted-fleet,batch4,XS,after_reuse,20,65.0084789999994,70.1155
persisted-fleet,batch4,S,before,20,69.31116650000035,77.92395799999952
persisted-fleet,batch4,S,after_off,20,65.46924999999959,83.1041670000019
persisted-fleet,batch4,S,after_reuse,20,50.962354500001084,53.920958999995605
persisted-fleet,batch4,M,before,20,73.66660449999785,90.59041599999773
persisted-fleet,batch4,M,after_off,20,69.13099950000401,81.01500000000783
persisted-fleet,batch4,M,after_reuse,20,44.513749999993024,55.79470800000763
persisted-fleet,batch4,L,before,20,118.4605414999993,136.77099999999598
persisted-fleet,batch4,L,after_off,20,118.07012499999558,127.0595419999978
persisted-fleet,batch4,L,after_reuse,20,42.488771000002146,56.76866700000005
persisted-fleet,batch4,XL,before,20,124.25175049999382,144.8090000000093
persisted-fleet,batch4,XL,after_off,20,117.55522899999704,134.33704099999488
persisted-fleet,batch4,XL,after_reuse,20,43.936228999996274,72.6716669999945
persisted-fleet,batch4,AUTO,before,20,114.98941649999495,174.9732910000006
persisted-fleet,batch4,AUTO,after_off,20,112.30318750001089,161.876417000002
persisted-fleet,batch4,AUTO,after_reuse,20,109.7039790000025,140.54087499999923
